car,move
C,-1
G,-1
A,-1
G,-1
L,-2
J,-1
I,1
J,-1
I,1
H,1
J,-1
E,2
D,-1
E,1
H,-1
I,-3
H,1
E,-2
J,2
L,1
X,1
J,1
E,1
X,2
G,1
B,-1
I,-1
X,1
