car,move
J,1
H,1
M,-1
X,1
G,1
K,1
H,1
N,-1
C,-1
N,-1
X,1
H,1
J,-1
X,1
O,-1
K,1
L,-1
V,-2
S,1
K,1
X,3
K,-1
S,-1
V,2
X,1
