car,move
B,1
F,-2
E,-1
B,1
F,-2
B,1
X,-3
B,-2
G,-2
E,3
B,2
X,1
A,-1
F,1
A,-1
F,2
X,-1
B,-1
G,-1
D,-1
B,-1
A,-1
B,-1
D,-2
F,1
D,-1
B,1
G,1
A,3
B,-1
D,1
C,1
A,1
G,-1
D,2
B,3
X,1
F,-4
X,-1
B,-3
E,-1
H,-4
E,-2
D,-3
B,3
X,1
G,3
X,2
C,2
X,1
