Algorithm,Board,Compute Time,Solution Path Length,Visited States Count
DFS,data/Rushhour6x6_1.csv,0.03781365499889944,141,397
DFS,data/Rushhour6x6_2.csv,0.06430821301182732,218,861
DFS,data/Rushhour6x6_3.csv,0.4947386149869999,1447,5711
BFS,data/Rushhour6x6_1.csv,0.09787884500110522,34,588
BFS,data/Rushhour6x6_2.csv,0.7391344030038454,28,3829
BFS,data/Rushhour6x6_3.csv,1.9358558059902862,82,8677
BFS,data/Rushhour6x6_2.csv,0.8181796900000009,28,3829
DFS,data/Rushhour6x6_2.csv,0.04721977500048524,218,861
BFS,data/Rushhour6x6_1.csv,0.14044861299998956,34,588
