car,move
A,-1
C,-1
D,-1
B,-1
G,-1
F,1
H,-1
F,1
K,-1
X,-1
K,-1
I,-3
K,1
X,1
A,-1
B,-1
G,-1
X,1
L,-3
K,1
F,-1
H,3
X,1
