car,move
B,1
G,-1
A,-1
F,-1
G,-1
M,1
S,-1
T,-1
G,-1
D,1
U,-1
P,1
K,1
D,2
M,1
D,1
G,2
F,1
A,3
E,1
I,-1
B,-1
I,-1
A,1
G,1
F,-1
E,1
X,-1
N,-1
E,1
N,-3
X,1
L,1
Q,-1
R,-1
O,1
J,1
X,2
D,1
X,3
C,-1
H,-1
X,1
