car,move
B,1
A,-2
F,-2
E,-1
B,2
F,-2
X,-2
G,-3
D,-1
C,2
H,-1
C,1
X,-1
B,-2
E,3
B,2
X,1
F,1
A,-1
F,3
X,-1
B,-3
D,-3
B,1
A,1
G,1
A,3
B,-1
D,1
F,-1
G,-1
D,2
B,3
X,1
F,-3
X,-1
B,-3
D,-3
B,1
E,-3
B,1
G,2
H,-2
G,1
H,-1
B,1
X,4
