car,move
B,1
A,-1
F,-1
G,-3
D,2
C,-1
H,-2
M,2
S,-1
T,-1
U,-1
P,1
K,1
D,3
G,1
E,1
G,1
E,1
G,1
E,1
G,1
E,1
F,1
A,1
B,-1
I,-2
X,-1
N,-2
L,1
N,-2
Q,-1
R,-1
O,1
J,1
X,7
